bird_sp,sink,float,via.p
Sturnus unicolor,41,6,0.8723404255319149
Saxicola rubicola,5,2,0.7142857142857143
Sylvia communis,10,7,0.5882352941176471
Sylvia cantillans,2,2,0.5
Sylvia hortensis,5,5,0.5
Cyanopica cooki,5,6,0.45454545454545453
Phoenicurus phoenicurus,13,23,0.3611111111111111
Sylvia melanocephala,239,466,0.33900709219858155
Alectoris rufa,1,2,0.3333333333333333
Chloris chloris,15,30,0.3333333333333333
Ficedula hypoleuca,1,2,0.3333333333333333
Luscinia megarhynchos,1,2,0.3333333333333333
Sylvia atricapilla,15,30,0.3333333333333333
Sylvia undata,8,22,0.26666666666666666
NA,19,60,0.24050632911392406
Erithacus rubecula,150,524,0.22255192878338279
Turdus merula,28,136,0.17073170731707318
Fringilla coelebs,0,2,0
Muscicapa striata,0,1,0
Pyrrhula pyrrhula,0,1,0
Sylvia borin,0,2,0
Turdus philomelos,0,3,0
Coccothraustes coccothraustes,0,0,0
Columba palumbus,0,0,0
Cyanistes caeruleus,0,0,0
Hippolais polyglotta,0,0,0
Lanius meridionalis,0,0,0
Parus major,0,0,0
Turdus viscivorus,0,0,0
